user_id,genre_preference,avg_energy,avg_valence,avg_danceability,avg_tempo,sessions_per_month,tier,acquisition_channel,cpa_eur,monthly_revenue_eur,subscription_start,subscription_end,months_active,total_revenue_eur,churned,monthly_churn_prob,cohort_month
U000035,pop,0.678,0.749,0.69,120.0,8,annual,Referral,1.79,7.99,2023-02-11,,23,183.77,0,0.015,2023-02
U000036,pop,0.68,0.628,0.7,120.0,15,monthly,Paid Search,23.8,9.99,2023-04-28,,21,209.79,0,0.0446,2023-04
U000037,pop,0.767,0.676,0.772,120.0,18,monthly,Direct,1.21,9.99,2024-01-13,,12,119.88,0,0.0446,2024-01
U000038,pop,0.772,0.645,0.799,120.0,9,monthly,Paid Social,19.89,9.99,2023-09-01,2024-12-24,17,169.83,1,0.0525,2023-09
U000039,pop,0.686,0.79,0.68,120.0,11,annual,Organic Search,4.64,7.99,2023-08-03,,18,143.82,0,0.0127,2023-08
U000040,pop,0.704,0.774,0.755,120.0,11,monthly,Paid Social,18.6,9.99,2023-11-24,,14,139.86,0,0.0446,2023-11
U000041,pop,0.653,0.571,0.692,120.0,13,annual,Paid Search,15.79,7.99,2024-01-21,,12,95.88,0,0.017,2024-01
U000042,pop,0.744,0.596,0.747,120.0,12,monthly,Organic Search,4.37,9.99,2023-07-20,2024-01-16,7,69.93,1,0.0446,2023-07
U000043,pop,0.674,0.694,0.705,120.0,12,annual,Paid Social,24.48,7.99,2024-03-30,,10,79.9,0,0.0127,2024-03
U000044,pop,0.817,0.659,0.833,120.0,14,annual,Organic Search,9.14,7.99,2024-02-10,,11,87.89,0,0.0127,2024-02
U000045,pop,0.796,0.674,0.788,120.0,11,annual,Paid Search,16.56,7.99,2024-06-07,,7,55.93,0,0.0127,2024-06
U000046,pop,0.825,0.733,0.811,120.0,14,annual,Paid Social,21.72,7.99,2023-03-30,,22,175.78,0,0.0127,2023-03
U000047,pop,0.762,0.67,0.827,120.0,12,monthly,Referral,4.18,9.99,2024-02-01,2024-05-31,5,49.95,1,0.0446,2024-02
U000048,pop,0.654,0.769,0.756,120.0,15,monthly,Referral,5.39,9.99,2024-03-15,2024-09-11,7,69.93,1,0.0446,2024-03
U000049,pop,0.709,0.763,0.793,120.0,13,annual,Paid Social,17.02,7.99,2023-05-20,,20,159.8,0,0.0127,2023-05
U000050,pop,0.81,0.707,0.693,120.0,12,monthly,Paid Social,14.47,9.99,2024-02-23,,11,109.89,0,0.0446,2024-02
U000051,pop,0.676,0.772,0.841,120.0,14,free_trial,Organic Search,3.24,0.0,2023-06-25,2023-07-25,2,0.0,1,0.3506,2023-06
U000052,pop,0.787,0.569,0.82,120.0,12,monthly,Paid Search,18.35,9.99,2023-02-09,2024-07-03,18,179.82,1,0.0446,2023-02
U000053,pop,0.676,0.634,0.799,120.0,8,annual,Organic Search,6.38,7.99,2023-01-17,2023-03-18,3,23.97,1,0.015,2023-01
U000054,pop,0.676,0.621,0.654,120.0,11,monthly,Paid Social,18.19,9.99,2023-02-06,2024-06-30,18,179.82,1,0.0446,2023-02
U000055,pop,0.715,0.672,0.804,120.0,14,monthly,Direct,0.55,9.99,2023-02-08,2023-11-05,10,99.9,1,0.0446,2023-02
U000056,pop,0.832,0.764,0.843,120.0,15,monthly,Organic Search,1.6,9.99,2024-06-10,,7,69.93,0,0.0446,2024-06
U000057,pop,0.691,0.573,0.681,120.0,11,free_trial,Paid Search,24.57,0.0,2024-01-13,2024-04-12,4,0.0,1,0.4675,2024-01
U000058,pop,0.787,0.658,0.69,120.0,12,monthly,Paid Social,16.97,9.99,2023-12-10,,13,129.87,0,0.0446,2023-12
U000059,pop,0.679,0.576,0.764,120.0,9,annual,Direct,2.06,7.99,2023-04-26,,21,167.79,0,0.015,2023-04
U000060,pop,0.761,0.699,0.807,120.0,12,monthly,Organic Search,4.44,9.99,2023-01-12,2024-08-04,20,199.8,1,0.0446,2023-01
U000061,pop,0.743,0.767,0.795,120.0,15,monthly,Organic Search,6.45,9.99,2024-02-24,2024-02-24,1,9.99,1,0.0446,2024-02
U000062,pop,0.771,0.699,0.809,120.0,10,monthly,Organic Search,8.09,9.99,2023-01-21,,24,239.76,0,0.0446,2023-01
U000063,pop,0.741,0.609,0.665,120.0,8,monthly,Paid Search,14.22,9.99,2024-05-27,,8,79.92,0,0.0525,2024-05
U000064,pop,0.823,0.69,0.758,120.0,7,free_trial,Referral,3.57,0.0,2023-02-04,2023-04-05,3,0.0,1,0.4125,2023-02
U000065,pop,0.658,0.587,0.847,120.0,21,annual,Referral,3.87,7.99,2024-05-09,,8,63.92,0,0.009,2024-05
U000066,pop,0.688,0.733,0.681,120.0,9,annual,Organic Search,8.17,7.99,2024-02-18,,11,87.89,0,0.015,2024-02
U000067,pop,0.671,0.714,0.85,120.0,11,annual,Referral,4.56,7.99,2024-01-16,,12,95.88,0,0.0127,2024-01
U000068,pop,0.763,0.645,0.76,120.0,13,monthly,Paid Social,19.42,9.99,2023-09-24,2024-05-21,9,89.91,1,0.0446,2023-09
U000069,pop,0.726,0.65,0.766,120.0,12,annual,Paid Search,20.74,7.99,2023-02-20,,23,183.77,0,0.0127,2023-02
U000070,pop,0.843,0.671,0.811,120.0,12,monthly,Direct,2.39,9.99,2023-04-28,,21,209.79,0,0.0446,2023-04
U000071,pop,0.757,0.595,0.712,120.0,9,monthly,Paid Social,15.81,9.99,2023-11-16,,14,139.86,0,0.0525,2023-11
U000072,pop,0.688,0.631,0.695,120.0,10,monthly,Paid Social,18.65,9.99,2024-05-31,,8,79.92,0,0.0446,2024-05
U000073,pop,0.726,0.641,0.849,120.0,11,monthly,Paid Social,18.44,9.99,2023-10-30,,15,149.85,0,0.0446,2023-10
U000074,pop,0.754,0.706,0.668,120.0,15,annual,Paid Search,23.89,7.99,2024-05-23,,8,63.92,0,0.0127,2024-05
U000075,pop,0.739,0.7,0.753,120.0,18,annual,Paid Search,22.41,7.99,2023-06-07,,20,159.8,0,0.0127,2023-06
U000076,pop,0.73,0.587,0.724,120.0,5,free_trial,Direct,1.9,0.0,2023-01-12,2023-03-13,3,0.0,1,0.4125,2023-01
U000077,pop,0.738,0.576,0.778,120.0,9,monthly,Paid Social,15.25,9.99,2023-09-10,,16,159.84,0,0.0525,2023-09
U000078,pop,0.795,0.748,0.731,120.0,14,monthly,Organic Search,5.87,9.99,2024-03-30,2024-05-29,3,29.97,1,0.0446,2024-03
U000079,pop,0.746,0.555,0.702,120.0,15,monthly,Paid Social,17.94,9.99,2024-05-11,,8,79.92,0,0.0446,2024-05
U000080,pop,0.725,0.649,0.742,120.0,10,monthly,Paid Social,20.32,9.99,2023-01-10,2024-04-04,16,159.84,1,0.0446,2023-01
U000081,pop,0.782,0.751,0.671,120.0,11,annual,Direct,0.92,7.99,2023-12-16,2024-10-11,11,87.89,1,0.0127,2023-12
U000082,pop,0.702,0.567,0.842,120.0,12,monthly,Paid Social,10.89,9.99,2024-05-02,2024-10-29,7,69.93,1,0.0446,2024-05
U000083,pop,0.77,0.574,0.725,120.0,12,monthly,Paid Social,18.84,9.99,2024-03-10,,10,99.9,0,0.0446,2024-03
U000084,pop,0.796,0.744,0.781,120.0,8,annual,Direct,2.51,7.99,2024-04-10,,9,71.91,0,0.015,2024-04
U000085,pop,0.772,0.576,0.68,120.0,6,annual,Organic Search,6.41,7.99,2023-05-09,2024-09-30,18,143.82,1,0.015,2023-05
U000086,pop,0.802,0.72,0.801,120.0,16,monthly,Paid Social,13.18,9.99,2024-01-16,2024-06-14,6,59.94,1,0.0446,2024-01
U000087,pop,0.656,0.592,0.686,120.0,11,annual,Organic Search,4.92,7.99,2023-02-24,,23,183.77,0,0.017,2023-02
U000088,pop,0.71,0.593,0.778,120.0,12,monthly,Direct,2.3,9.99,2023-05-04,2023-10-31,7,69.93,1,0.0446,2023-05
U000089,pop,0.816,0.618,0.754,120.0,10,monthly,Organic Search,7.03,9.99,2023-03-15,2023-10-11,8,79.92,1,0.0446,2023-03
U000090,pop,0.695,0.583,0.73,120.0,18,free_trial,Paid Social,15.87,0.0,2024-02-18,2024-02-18,1,0.0,1,0.3506,2024-02
U000091,pop,0.705,0.747,0.845,120.0,11,annual,Paid Social,18.7,7.99,2023-09-07,,17,135.83,0,0.0127,2023-09
U000092,pop,0.688,0.635,0.712,120.0,8,annual,Organic Search,5.66,7.99,2023-11-23,,14,111.86,0,0.015,2023-11
U000093,pop,0.67,0.765,0.742,120.0,15,annual,Paid Social,18.29,7.99,2023-08-31,,17,135.83,0,0.0127,2023-08
U000094,pop,0.832,0.685,0.75,120.0,7,annual,Organic Search,5.96,7.99,2023-11-03,,15,119.85,0,0.015,2023-11
U000095,pop,0.829,0.592,0.751,120.0,13,monthly,Paid Search,19.25,9.99,2024-01-01,,13,129.87,0,0.0446,2024-01
U000096,pop,0.762,0.682,0.794,120.0,17,annual,Paid Social,21.78,7.99,2024-04-21,,9,71.91,0,0.0127,2024-04
U000097,pop,0.826,0.681,0.699,120.0,7,annual,Organic Search,6.5,7.99,2023-12-04,,14,111.86,0,0.015,2023-12
U000098,pop,0.695,0.759,0.706,120.0,13,monthly,Organic Search,6.84,9.99,2023-07-10,2024-06-04,12,119.88,1,0.0446,2023-07
U000099,pop,0.728,0.645,0.695,120.0,11,monthly,Paid Search,20.11,9.99,2024-02-28,2024-10-25,9,89.91,1,0.0446,2024-02
U000100,pop,0.795,0.626,0.816,120.0,10,free_trial,Paid Search,21.92,0.0,2024-04-09,2024-04-09,1,0.0,1,0.3506,2024-04
U000101,pop,0.744,0.625,0.77,120.0,10,annual,Paid Social,21.8,7.99,2023-05-07,,21,167.79,0,0.0127,2023-05
U000102,pop,0.743,0.584,0.718,120.0,8,annual,Organic Search,9.42,7.99,2024-05-19,,8,63.92,0,0.015,2024-05
U000103,pop,0.799,0.677,0.777,120.0,6,monthly,Organic Search,5.56,9.99,2024-02-28,2024-08-26,7,69.93,1,0.0525,2024-02
U000104,pop,0.819,0.621,0.743,120.0,11,monthly,Paid Social,9.73,9.99,2023-08-21,,17,169.83,0,0.0446,2023-08
U000105,pop,0.712,0.756,0.841,120.0,16,monthly,Paid Social,24.45,9.99,2023-11-20,,14,139.86,0,0.0446,2023-11
U000106,pop,0.777,0.778,0.773,120.0,8,monthly,Paid Social,21.59,9.99,2023-11-07,2023-12-07,2,19.98,1,0.0525,2023-11
U000107,pop,0.762,0.636,0.796,120.0,14,monthly,Paid Social,22.0,9.99,2023-07-07,2024-02-02,8,79.92,1,0.0446,2023-07
U000108,pop,0.655,0.648,0.755,120.0,12,monthly,Paid Social,15.32,9.99,2023-07-12,2023-11-09,5,49.95,1,0.0446,2023-07
U000109,pop,0.808,0.699,0.67,120.0,16,annual,Referral,3.06,7.99,2024-03-09,,10,79.9,0,0.0127,2024-03
U000110,pop,0.742,0.622,0.83,120.0,10,monthly,Paid Search,22.71,9.99,2024-01-04,2024-04-03,4,39.96,1,0.0446,2024-01
U000111,pop,0.805,0.795,0.746,120.0,12,monthly,Paid Search,27.31,9.99,2023-04-19,2024-12-09,21,209.79,1,0.0446,2023-04
U000112,pop,0.759,0.607,0.843,120.0,12,free_trial,Paid Search,19.66,0.0,2024-04-20,2024-04-20,1,0.0,1,0.3506,2024-04
U000113,pop,0.743,0.559,0.844,120.0,19,free_trial,Paid Search,12.38,0.0,2023-08-16,2023-08-16,1,0.0,1,0.3506,2023-08
U000114,pop,0.802,0.647,0.752,120.0,12,annual,Direct,1.92,7.99,2023-03-23,2023-10-19,8,63.92,1,0.0127,2023-03
U000115,pop,0.71,0.61,0.712,120.0,9,annual,Paid Social,21.54,7.99,2023-01-22,2023-11-18,11,87.89,1,0.015,2023-01
U000116,pop,0.785,0.757,0.709,120.0,8,annual,Referral,4.79,7.99,2023-05-07,2024-05-31,14,111.86,1,0.015,2023-05
U000117,pop,0.824,0.72,0.673,120.0,16,monthly,Paid Social,21.93,9.99,2024-05-22,2024-10-19,6,59.94,1,0.0446,2024-05
U000118,pop,0.818,0.687,0.694,120.0,11,monthly,Paid Search,28.18,9.99,2024-06-27,,7,69.93,0,0.0446,2024-06
U000119,pop,0.811,0.688,0.754,120.0,8,monthly,Organic Search,4.61,9.99,2023-12-20,,13,129.87,0,0.0525,2023-12
U000120,pop,0.836,0.757,0.676,120.0,19,monthly,Direct,1.59,9.99,2024-02-25,2024-03-26,2,19.98,1,0.0446,2024-02
U000121,pop,0.836,0.761,0.785,120.0,7,annual,Paid Social,15.37,7.99,2024-03-27,,10,79.9,0,0.015,2024-03
U000122,pop,0.692,0.642,0.724,120.0,11,annual,Paid Social,16.42,7.99,2023-11-25,,14,111.86,0,0.0127,2023-11
U000123,pop,0.667,0.561,0.783,120.0,12,monthly,Paid Social,18.71,9.99,2024-01-22,2024-04-21,4,39.96,1,0.0446,2024-01
U000124,pop,0.843,0.68,0.786,120.0,10,annual,Organic Search,6.16,7.99,2024-05-16,,8,63.92,0,0.0127,2024-05
U000125,pop,0.72,0.643,0.65,120.0,10,annual,Paid Search,25.35,7.99,2024-03-31,,10,79.9,0,0.0127,2024-03
U000126,pop,0.698,0.683,0.78,120.0,13,annual,Paid Social,20.71,7.99,2023-03-31,2024-10-21,20,159.8,1,0.0127,2023-03
U000127,pop,0.74,0.584,0.842,120.0,12,monthly,Referral,3.81,9.99,2024-03-21,2024-06-19,4,39.96,1,0.0446,2024-03
U000128,pop,0.739,0.602,0.66,120.0,9,monthly,Paid Social,16.57,9.99,2023-06-03,2023-06-03,1,9.99,1,0.0525,2023-06
U000129,pop,0.796,0.639,0.79,120.0,22,annual,Paid Search,16.71,7.99,2024-03-02,,11,87.89,0,0.009,2024-03
U000130,pop,0.714,0.762,0.796,120.0,6,free_trial,Organic Search,4.5,0.0,2023-06-22,2023-06-22,1,0.0,1,0.4125,2023-06
U000131,pop,0.73,0.78,0.849,120.0,11,annual,Direct,2.1,7.99,2023-01-17,,24,191.76,0,0.0127,2023-01
U000132,pop,0.839,0.773,0.734,120.0,15,monthly,Paid Social,20.35,9.99,2023-08-09,2023-11-07,4,39.96,1,0.0446,2023-08
U000133,pop,0.723,0.624,0.826,120.0,12,annual,Paid Social,21.6,7.99,2024-06-19,,7,55.93,0,0.0127,2024-06
U000134,pop,0.803,0.55,0.733,120.0,12,annual,Paid Social,20.98,7.99,2023-03-26,2023-05-25,3,23.97,1,0.0127,2023-03
U000135,pop,0.843,0.606,0.783,120.0,11,monthly,Paid Search,19.68,9.99,2024-01-17,2024-11-12,11,109.89,1,0.0446,2024-01
U000136,pop,0.754,0.617,0.776,120.0,12,annual,Referral,4.46,7.99,2023-04-12,,21,167.79,0,0.0127,2023-04
U000137,pop,0.737,0.687,0.712,120.0,12,monthly,Direct,2.26,9.99,2023-09-27,,16,159.84,0,0.0446,2023-09
U000138,pop,0.785,0.706,0.713,120.0,16,free_trial,Organic Search,5.35,0.0,2024-01-10,2024-04-09,4,0.0,1,0.3506,2024-01
U000139,pop,0.66,0.687,0.708,120.0,10,monthly,Organic Search,4.74,9.99,2023-04-28,2024-11-18,20,199.8,1,0.0446,2023-04
U000140,pop,0.845,0.576,0.76,120.0,8,monthly,Organic Search,9.07,9.99,2024-01-22,,12,119.88,0,0.0525,2024-01
U000141,pop,0.775,0.712,0.703,120.0,9,annual,Referral,2.88,7.99,2024-05-22,2024-05-22,1,7.99,1,0.015,2024-05
U000142,pop,0.673,0.662,0.772,120.0,13,free_trial,Referral,3.08,0.0,2023-10-28,2023-11-27,2,0.0,1,0.3506,2023-10
U000143,pop,0.842,0.65,0.818,120.0,8,annual,Paid Social,17.91,7.99,2024-02-23,,11,87.89,0,0.015,2024-02
U000144,pop,0.691,0.713,0.814,120.0,18,monthly,Paid Social,17.3,9.99,2023-06-10,,20,199.8,0,0.0446,2023-06
U000145,pop,0.783,0.747,0.741,120.0,13,annual,Organic Search,9.99,7.99,2023-12-01,,14,111.86,0,0.0127,2023-12
U000146,pop,0.682,0.59,0.664,120.0,8,annual,Paid Search,18.17,7.99,2023-03-10,2023-03-10,1,7.99,1,0.02,2023-03
U000147,pop,0.739,0.688,0.701,120.0,15,annual,Paid Search,25.08,7.99,2024-01-24,,12,95.88,0,0.0127,2024-01
U000148,pop,0.822,0.737,0.738,120.0,13,monthly,Paid Social,15.74,9.99,2024-01-07,2024-04-06,4,39.96,1,0.0446,2024-01
U000149,pop,0.796,0.679,0.682,120.0,6,monthly,Paid Search,18.45,9.99,2023-04-25,,21,209.79,0,0.0525,2023-04
U000150,pop,0.673,0.701,0.673,120.0,10,monthly,Paid Social,12.97,9.99,2023-11-21,,14,139.86,0,0.0446,2023-11
U000151,pop,0.801,0.666,0.825,120.0,9,monthly,Organic Search,8.66,9.99,2024-03-04,2024-04-03,2,19.98,1,0.0525,2024-03
U000152,pop,0.78,0.554,0.706,120.0,9,monthly,Paid Social,18.18,9.99,2023-10-19,2024-06-15,9,89.91,1,0.0525,2023-10
U000153,pop,0.664,0.732,0.772,120.0,14,monthly,Paid Social,20.33,9.99,2024-02-18,2024-05-18,4,39.96,1,0.0446,2024-02
U000154,pop,0.805,0.687,0.663,120.0,15,annual,Paid Search,20.98,7.99,2024-04-24,,9,71.91,0,0.0127,2024-04
U000155,pop,0.802,0.699,0.781,120.0,17,monthly,Paid Social,25.24,9.99,2023-02-23,,23,229.77,0,0.0446,2023-02
U000156,pop,0.781,0.756,0.663,120.0,15,monthly,Organic Search,5.56,9.99,2024-06-17,2024-06-17,1,9.99,1,0.0446,2024-06
U000157,pop,0.699,0.689,0.658,120.0,14,annual,Paid Search,25.35,7.99,2023-04-14,2024-03-09,12,95.88,1,0.0127,2023-04
U000158,pop,0.764,0.626,0.714,120.0,16,free_trial,Paid Social,16.83,0.0,2024-05-15,2024-05-15,1,0.0,1,0.3506,2024-05
U000159,pop,0.803,0.706,0.802,120.0,13,monthly,Paid Search,30.17,9.99,2024-06-24,,7,69.93,0,0.0446,2024-06
U000160,pop,0.718,0.682,0.692,120.0,14,free_trial,Organic Search,9.51,0.0,2023-06-04,2023-09-02,4,0.0,1,0.3506,2023-06
U000161,pop,0.788,0.724,0.78,120.0,9,monthly,Referral,4.56,9.99,2023-04-03,2023-07-02,4,39.96,1,0.0525,2023-04
U000162,pop,0.741,0.664,0.787,120.0,13,monthly,Paid Social,14.48,9.99,2023-05-30,,20,199.8,0,0.0446,2023-05
U000163,pop,0.805,0.582,0.72,120.0,11,monthly,Paid Search,24.47,9.99,2023-04-08,,22,219.78,0,0.0446,2023-04
U000164,pop,0.812,0.587,0.719,120.0,16,free_trial,Organic Search,2.31,0.0,2024-01-10,2024-03-10,3,0.0,1,0.3506,2024-01
U000165,pop,0.806,0.626,0.712,120.0,17,annual,Organic Search,4.01,7.99,2023-08-14,,17,135.83,0,0.0127,2023-08
U000166,pop,0.722,0.765,0.731,120.0,10,annual,Paid Social,21.93,7.99,2023-08-17,,17,135.83,0,0.0127,2023-08
U000167,pop,0.762,0.643,0.807,120.0,17,annual,Referral,6.48,7.99,2024-01-18,2024-02-17,2,15.98,1,0.0127,2024-01
U000168,pop,0.809,0.707,0.8,120.0,8,monthly,Paid Social,27.07,9.99,2023-02-27,2023-09-25,8,79.92,1,0.0525,2023-02
U000169,pop,0.79,0.704,0.802,120.0,12,annual,Organic Search,5.57,7.99,2023-06-20,,19,151.81,0,0.0127,2023-06
U000170,pop,0.772,0.62,0.685,120.0,11,monthly,Paid Search,31.26,9.99,2023-09-30,2024-12-23,16,159.84,1,0.0446,2023-09
U000171,pop,0.769,0.713,0.688,120.0,10,monthly,Organic Search,7.35,9.99,2023-02-27,,23,229.77,0,0.0446,2023-02
U000172,pop,0.688,0.551,0.662,120.0,17,monthly,Paid Social,17.02,9.99,2023-06-01,2023-07-31,3,29.97,1,0.0595,2023-06
U000173,pop,0.692,0.716,0.732,120.0,11,annual,Direct,3.14,7.99,2023-05-09,,21,167.79,0,0.0127,2023-05
U000174,pop,0.825,0.681,0.79,120.0,11,annual,Paid Social,13.57,7.99,2023-07-22,,18,143.82,0,0.0127,2023-07
U000175,pop,0.847,0.615,0.844,120.0,11,free_trial,Paid Social,16.35,0.0,2023-04-21,2023-05-21,2,0.0,1,0.3506,2023-04
U000176,pop,0.83,0.736,0.665,120.0,8,monthly,Paid Social,25.55,9.99,2023-06-15,2024-09-07,16,159.84,1,0.0525,2023-06
U000177,pop,0.732,0.59,0.781,120.0,14,monthly,Paid Social,20.44,9.99,2024-02-23,,11,109.89,0,0.0446,2024-02
U000178,pop,0.785,0.715,0.664,120.0,11,monthly,Paid Search,22.78,9.99,2023-07-09,2024-11-30,18,179.82,1,0.0446,2023-07
U000179,pop,0.73,0.661,0.829,120.0,14,annual,Paid Social,19.02,7.99,2023-01-06,2023-10-03,10,79.9,1,0.0127,2023-01
U000180,pop,0.843,0.649,0.796,120.0,10,annual,Direct,1.63,7.99,2023-05-30,,20,159.8,0,0.0127,2023-05
U000181,pop,0.729,0.575,0.653,120.0,14,monthly,Paid Social,19.96,9.99,2023-05-01,2023-06-30,3,29.97,1,0.0446,2023-05
U000182,pop,0.729,0.557,0.767,120.0,10,monthly,Organic Search,5.28,9.99,2024-04-18,,9,89.91,0,0.0446,2024-04
U000183,pop,0.695,0.607,0.813,120.0,18,monthly,Organic Search,7.35,9.99,2023-06-29,2024-10-21,17,169.83,1,0.0446,2023-06
U000184,pop,0.789,0.598,0.778,120.0,17,monthly,Organic Search,4.45,9.99,2023-04-26,,21,209.79,0,0.0446,2023-04
U000185,pop,0.732,0.657,0.716,120.0,13,monthly,Direct,2.93,9.99,2023-12-07,2024-01-06,2,19.98,1,0.0446,2023-12
U000186,pop,0.658,0.772,0.848,120.0,10,annual,Paid Social,20.17,7.99,2023-04-18,2024-01-13,10,79.9,1,0.0127,2023-04
U000187,pop,0.726,0.586,0.654,120.0,10,monthly,Paid Social,13.34,9.99,2023-07-04,2024-02-29,9,89.91,1,0.0446,2023-07
U000188,pop,0.702,0.557,0.776,120.0,11,monthly,Paid Social,20.44,9.99,2023-03-19,2023-07-17,5,49.95,1,0.0446,2023-03
U000189,pop,0.759,0.76,0.675,120.0,8,annual,Paid Search,14.04,7.99,2023-06-13,,19,151.81,0,0.015,2023-06
U000190,pop,0.829,0.711,0.708,120.0,10,free_trial,Organic Search,7.75,0.0,2024-04-20,2024-04-20,1,0.0,1,0.3506,2024-04
U000191,pop,0.758,0.763,0.842,120.0,13,free_trial,Organic Search,8.84,0.0,2024-05-22,2024-05-22,1,0.0,1,0.3506,2024-05
U000192,pop,0.746,0.585,0.666,120.0,11,free_trial,Paid Search,14.06,0.0,2023-07-12,2023-07-12,1,0.0,1,0.3506,2023-07
